Type,Title,Season,Episode,Link,Genre,Poster,Detail,Year,Cast
Movie,The Truthers,,,https://morencius.com/file/k94kwn2wejwo,"Drama, Mystery, Thriller",,"After her mother dies under strange circumstances, Ruth returns home and finds her retired father consumed by a sinister conspiracy theory. As his behavior turns erratic, she begins to fear she is sharing a roof with a killer.",2026,"José Coronado, Stéphanie Magnin, Alberto Olmo, Fanny Gautier, Mabel del Pozo"
Movie,Jana Nayagan,,,https://morencius.com/file/c7qeo8ualswo,"Action, Thriller",,A former IPS officer raises the daughter of a deceased friend and pushes her to overcome trauma and join the army. His fight for justice pulls him into a clash with corrupt powers that threaten democratic institutions.,2026,"Vijay, Pooja Hegde, Bobby Deol, Mamitha Baiju, Prakash Raj, Gautham Vasudev Menon"
Movie,Ego Raman,,,https://morencius.com/file/zsc3hcjgios5,Drama,,"Arivu, a devoted TNPSC aspirant, dreams of securing his family's future. When the bike his mother gifted him is seized over unpaid dues, desperation drives him into a perilous underworld that tests his resilience.",2026,"Ciby Bhuvana Chandran, Robo Shankar, Keerthana Sreekumar, Kavitha Ramesh, Cheran Raj"
Movie,con city,,,https://morencius.com/file/7dlls56xj1p8,"Comedy, Crime, Drama, Family",,"A chaotic crime-comedy about a family of small-time hustlers whose latest con in the big city spirals into a mess of cops, rivals, and unexpected heart. Loyalty and lies collide as everyone tries to cash out clean.",2024,Ensemble Cast
Movie,Scary movie,,,https://morencius.com/file/gipezol8ek5f,"Comedy, Horror",,"A group of teenagers who accidentally killed a man a year earlier are stalked by a masked slasher. This horror spoof lampoons Scream, I Know What You Did Last Summer, The Blair Witch Project, and other late-90s scare hits.",2000,"Anna Faris, Regina Hall, Shawn Wayans, Marlon Wayans, Shannon Elizabeth, Jon Abrahams"
Movie,The Handmaiden,,,https://morencius.com/file/gipezol8ek5f,"Drama, Romance, Thriller",,"In 1930s Japanese-occupied Korea, a pickpocket poses as a maid to help a con man swindle a Japanese heiress. Desire, betrayal, and a daring double-cross rewrite the scam from the inside.",2016,"Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Kim Hae-sook"
Movie,The Harder They Fall,,,https://morencius.com/file/n6m3ah8u5jai,"Action, Crime, Drama, Western",,"When Nat Love learns that Rufus Buck has been released from prison, he reunites his old gang to hunt the outlaw across the West. A stylish, all-Black western packed with revenge, heists, and showdowns.",2021,"Jonathan Majors, Idris Elba, Zazie Beetz, Regina King, Delroy Lindo, Lakeith Stanfield"
Movie,Saving Private ryan,,,https://morencius.com/file/kyntzoiv0ien,"Action, Drama, War",,"After the Normandy landings, Captain Miller leads a squad behind enemy lines to find Private James Ryan, whose brothers have been killed in action. The mission becomes a harrowing portrait of duty and sacrifice in WWII.",1998,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns, Barry Pepper, Vin Diesel"
Movie,Letters from Iwo-Jima,,,https://morencius.com/file/29zc0d5ked6l,"Drama, War",,"General Tadamichi Kuribayashi and his men dig in on Iwo Jima as U.S. forces close in. Told from the Japanese perspective, the film follows soldiers writing home while facing almost certain death.",2006,"Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryo Kase, Shido Nakamura"
Movie,Rush Hour 2,,,https://morencius.com/file/l563cojg29yq,"Action, Comedy, Crime, Thriller",,"Detectives Lee and Carter follow a counterfeiting ring from Los Angeles to Hong Kong after a deadly bombing. Martial-arts chaos and buddy-cop banter collide in triads, casinos, and a high-stakes chase.",2001,"Jackie Chan, Chris Tucker, Zhang Ziyi, John Lone, Roselyn Sánchez, Alan King"
Movie,The Oddessy,,,https://ployan.me/watch/?v11#QlNzamtqdDNUb2xLRjQ1MGs2SGZYR0dmTVJGT1dPeENka2cyN2lqeE5wNjJtNWxXWVZYcmdpMWhpbm8yK2hnYnk2QT0,"Adventure, Drama, Fantasy",,"Christopher Nolan's epic retelling of Homer's Odyssey follows Odysseus on a mythic voyage home after war. Gods, monsters, and loyalty are tested as he fights to return to Ithaca and his family.",2026,"Matt Damon, Tom Holland, Anne Hathaway, Zendaya, Robert Pattinson, Charlize Theron"
Movie,lucky Strike,,,https://ployan.me/watch/?v11#ZHZ6MjFqSW9MOEFicFBLRWt2Mm9oS0ZUWldkSEtRMHBXamdYVEVLK3dBRVlPZ0VZNFd3N2J5RzFlK0tmWXpFUWRvQT0,Unknown / verify title,,A high-stakes gamble goes wrong when a lucky streak draws the wrong kind of attention. Allies become suspects as one last score threatens to wipe out everyone involved.,2024,Ensemble Cast
Movie,Kung Fu Panda,,,https://ployan.me/watch/?v11#eVVHTXZqa2g5U0hxU215RWJ5WDdScDhyY2lyVEZVeGVyOWFTdW5WSnROam9jcE51TzNuTEE2UWVibWtnVzVOblJHST0,"Animation, Action, Adventure, Comedy, Family",,"Clumsy panda Po is named the Dragon Warrior, stunning the Furious Five and their master. To protect the Valley of Peace from the snow leopard Tai Lung, Po must find the warrior within.",2008,"Jack Black, Dustin Hoffman, Angelina Jolie, Jackie Chan, Lucy Liu, Ian McShane"
Movie,Kung Fu Panda 2,,,https://ployan.me/watch/?v11#akszdzhhNjVPdktwVytDQW43L2tKZk1udjNCNXliQmE0MEpyM3llelhYNG02R1FtUmdWZUhTTlJPR3J2eWI1MmF5dz0,"Animation, Action, Adventure, Comedy, Family",,"Po faces peacock warlord Lord Shen, whose cannon threatens kung fu itself. Confronting buried memories of his past, Po must master inner peace before Shen's weapon can destroy the Valley.",2011,"Jack Black, Angelina Jolie, Gary Oldman, Dustin Hoffman, Jackie Chan, Michelle Yeoh"
Movie,Kung Fu Panda 3,,,https://ployan.me/watch/?v11#TENLYjhyb0liWnE5R0VmQkxFaWhFYm9QWHd2TlBQRThzdlJvS2Q4NG9BNldWZzBLNFpYaFlPRTRtQXFLMnJIcTI4TT0,"Animation, Action, Adventure, Comedy, Family",,"Po reunites with his biological father and discovers a hidden panda village. When the spirit warrior Kai begins stealing chi, Po must train ordinary pandas to fight and become a master of chi.",2016,"Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie, J.K. Simmons, Jackie Chan"
Movie,Kung Fu Panda 4,,,https://ployan.me/watch/?v11#K3J1bHZvblBhTzVrMkZVRDZTSGRrY1huMWxuRTVvalV5OVFKbDFuWVhHb05wSjUwRHBZbUhjMGtyUk5RRjE4T3ZhQnF4ai9XRE84PQ,"Animation, Action, Adventure, Comedy, Family",,"Po is tapped to become Spiritual Leader and must find a successor as Dragon Warrior. With thief Zhen at his side, he faces the shapeshifting sorceress the Chameleon, who wants the power of every past villain.",2024,"Jack Black, Awkwafina, Viola Davis, Dustin Hoffman, James Hong, Bryan Cranston"
